Customer ID,Churn,ChurnProbability,RiskSegment,RetentionPriority,RecommendedAction,RecencyDays,PurchaseFrequency,MonetaryValue,AverageOrderValue,CustomerTenureDays,UniqueProducts,IsRepeatCustomer,PurchaseActivityRate
13085,0,0.28789073,Medium,Monitor,Continue monitoring and regular customer engagement,114.95347222222222,7,2295.3,327.90000000000003,558.2118055555555,46,1,0.0125176184237487
13078,0,0.043570515,Low,Monitor,Continue monitoring and regular customer engagement,20.028472222222224,41,20857.28,508.7141463414634,558.1555555555556,131,1,0.0733248549399888
15362,1,0.6087768,High,Medium Priority,Automated re-engagement reminder or promotional campaign,268.0923611111112,2,613.08,306.54,558.1541666666667,38,1,0.0035768310767006
18102,0,0.02488985,Low,Monitor,Continue monitoring and regular customer engagement,2.807638888888889,102,413459.37,4053.5232352941175,558.1430555555555,310,1,0.1824220098712563
12682,0,0.03015152,Low,Monitor,Continue monitoring and regular customer engagement,11.970833333333331,32,15947.69,498.3653125,558.1402777777778,251,1,0.0572307187870267
18087,0,0.16795436,Low,Monitor,Continue monitoring and regular customer engagement,110.08819444444444,16,13908.72,869.295,558.1298611111112,43,1,0.0286158925016177
13635,0,0.5049343,Medium,Monitor,Continue monitoring and regular customer engagement,262.1138888888889,3,1928.13,642.71,558.1277777777777,89,1,0.0053654998360541
14110,0,0.049714476,Low,Monitor,Continue monitoring and regular customer engagement,39.96597222222222,23,9006.32,391.5791304347826,558.125,148,1,0.041135703107534
12636,1,0.9128503,Critical,High Priority,Targeted re-engagement campaign with personalised offer,558.1215277777778,1,141.0,141.0,558.1215277777778,1,0,0.0017885199376502
17519,0,0.042267494,Low,Monitor,Continue monitoring and regular customer engagement,26.10833333333333,12,3885.75,323.8125,558.1201388888888,124,1,0.0214622925653277
13758,0,0.03226552,Low,Monitor,Continue monitoring and regular customer engagement,20.90138888888889,13,7859.1,604.5461538461539,558.1138888888889,199,1,0.023251076852758
12362,0,0.48008996,Medium,Monitor,Continue monitoring and regular customer engagement,45.15138888888889,3,1104.34,368.1133333333334,558.1111111111111,52,1,0.0053656597774244
15413,1,0.862166,Critical,Immediate Action,Personalised retention outreach with high-value incentive,511.05347222222224,5,6798.72,1359.744,558.1055555555556,20,1,0.0089428551555559
16321,0,0.5766675,High,Medium Priority,Automated re-engagement reminder or promotional campaign,124.90277777777776,5,454.55,90.91,558.0930555555556,14,1,0.0089430550966719
16167,1,0.56678545,High,Medium Priority,Automated re-engagement reminder or promotional campaign,233.88680555555555,5,1386.12,277.22400000000005,558.0861111111111,51,1,0.0089431661789328
17865,0,0.025869217,Low,Monitor,Continue monitoring and regular customer engagement,24.059722222222224,33,19947.53,604.470606060606,558.0840277777778,326,1,0.0590251167273851
17592,1,0.92642796,Critical,High Priority,Targeted re-engagement campaign with personalised offer,558.0840277777778,1,148.3,148.3,558.0840277777778,13,0,0.0017886399008298
13767,0,0.031640194,Low,Monitor,Continue monitoring and regular customer engagement,22.94375,58,23924.5,412.4913793103448,558.0819444444444,112,1,0.1037415008235227
17238,0,0.03483091,Low,Monitor,Continue monitoring and regular customer engagement,4.0881944444444445,24,5144.41,214.35041666666663,558.0770833333333,402,1,0.0429278908319887
15712,0,0.04408156,Low,Monitor,Continue monitoring and regular customer engagement,2.876388888888889,9,2858.7000000000003,317.6333333333334,558.0645833333333,74,1,0.0160983189926625
15311,0,0.025969736,Low,Monitor,Continue monitoring and regular customer engagement,4.954166666666667,162,87944.0,542.8641975308642,558.0618055555556,699,1,0.289771181629938
