Customer ID,ReturnedWithin180Days,Churn
13085,1,0
13078,1,0
15362,0,1
18102,1,0
12682,1,0
18087,1,0
13635,1,0
14110,1,0
12636,0,1
17519,1,0
13758,1,0
12362,1,0
15413,0,1
16321,1,0
16167,0,1
17865,1,0
17592,0,1
13767,1,0
17238,1,0
15712,1,0
15311,1,0
16329,0,1
17700,1,0
14911,1,0
15998,1,0
12931,1,0
12533,0,1
17984,1,0
14871,1,0
13394,1,0
16011,1,0
16393,1,0
14040,1,0
12913,1,0
15061,1,0
14341,1,0
17804,0,1
14156,1,0
13599,1,0
17063,1,0
15719,1,0
12490,1,0
15793,1,0
17056,0,1
13526,0,1
14654,0,1
17998,0,1
17742,1,0
15326,0,1
14478,0,1
15967,1,0
17611,1,0
15051,1,0
13097,1,0
13590,1,0
15984,1,0
16887,1,0
12921,1,0
14543,1,0
15945,0,1
18037,1,0
15662,0,1
15380,1,0
13110,1,0
12836,1,0
15005,1,0
16620,1,0
12758,1,0
17961,1,0
15601,1,0
13585,0,1
13442,0,1
13381,1,0
16763,0,1
17243,1,0
14865,1,0
17345,1,0
13819,0,1
15808,0,1
17191,1,0
13748,1,0
15265,1,0
15750,1,0
17428,1,0
15485,1,0
17246,0,1
14061,0,1
14108,1,0
13648,0,1
16563,1,0
16701,1,0
12842,1,0
14302,0,1
14135,1,0
14831,0,1
15602,1,0
13777,1,0
14000,0,1
16823,0,1
16163,0,1
17193,1,0
15759,0,1
16131,1,0
14560,1,0
17087,0,1
14894,1,0
16202,0,1
16700,1,0
17511,1,0
14299,1,0
17949,1,0
14799,1,0
16550,1,0
12980,1,0
14425,0,1
15353,0,1
17818,0,1
13654,1,0
17189,1,0
13269,1,0
14653,1,0
17019,1,0
15542,0,1
13564,1,0
16467,0,1
15833,0,1
14527,1,0
17476,0,1
15287,1,0
14440,1,0
15680,1,0
15581,1,0
13740,0,1
17768,1,0
12948,1,0
14667,1,0
17377,1,0
14467,1,0
13457,0,1
18108,0,1
16210,1,0
14669,0,1
17909,0,1
16086,1,0
16711,1,0
14739,1,0
16233,1,0
14204,1,0
17606,0,1
16797,0,1
16126,1,0
17867,1,0
17412,1,0
16525,1,0
13623,1,0
12435,1,0
14549,0,1
14106,0,1
14980,0,1
14396,1,0
14122,0,1
16987,1,0
17809,1,0
15917,0,1
14987,1,0
14080,1,0
16200,1,0
15794,0,1
