Customer ID,Churn,ChurnProbability,RiskSegment,RecencyDays,PurchaseFrequency,MonetaryValue,UniqueProducts,IsRepeatCustomer,HighValueCustomer,RetentionPriority
12918,1,0.9456287,Critical,445.8944444444445,1,10953.5,1,0,1,Immediate Action
15760,1,0.93851906,Critical,450.0451388888889,2,13916.34,1,0,1,Immediate Action
16077,1,0.9259245,Critical,445.0888888888889,1,2300.4,8,0,1,Immediate Action
13091,0,0.9125324,Critical,549.0041666666667,2,1976.0,24,0,1,Immediate Action
13902,1,0.91076934,Critical,451.9868055555556,5,34095.26,58,1,1,Immediate Action
17305,1,0.9004482,Critical,468.00208333333336,1,2135.46,9,0,1,Immediate Action
14091,1,0.88360924,Critical,473.8979166666667,2,9530.08,13,1,1,Immediate Action
14028,1,0.86917114,Critical,369.97013888888887,3,10396.5,3,0,1,Immediate Action
12737,1,0.8690459,Critical,318.0145833333333,2,3710.5,2,0,1,Immediate Action
13734,1,0.8629639,Critical,328.03194444444443,4,6695.6900000000005,24,1,1,Immediate Action
15413,1,0.862166,Critical,511.05347222222224,5,6798.72,20,1,1,Immediate Action
16118,1,0.84757453,Critical,472.13194444444446,1,4376.25,41,0,1,Immediate Action
18052,1,0.842721,Critical,384.06875,1,10877.18,16,0,1,Immediate Action
15202,1,0.83920527,Critical,239.98958333333331,3,6001.49,1,0,1,Immediate Action
12671,1,0.827055,Critical,425.84722222222223,1,2622.481,45,0,1,Immediate Action
13935,1,0.8000166,Critical,416.0618055555556,3,6116.92,67,1,1,Immediate Action
16749,1,0.79934454,Critical,410.9888888888889,2,4157.88,53,1,1,Immediate Action
18026,1,0.7826765,Critical,320.0923611111112,2,2074.07,12,1,1,Immediate Action
16067,1,0.77181834,Critical,382.0118055555556,3,3269.11,60,1,1,Immediate Action
18051,1,0.761476,Critical,453.9527777777778,7,2282.28,41,1,1,Immediate Action
13205,1,0.7504831,Critical,262.85,1,2803.2,1,0,1,Immediate Action
16772,1,0.74414045,Critical,242.97986111111112,3,3698.05,54,1,1,Immediate Action
17113,1,0.7297368,Critical,393.95208333333335,6,2305.59,122,1,1,Immediate Action
14685,1,0.72303665,Critical,395.9875,8,4536.64,109,1,1,Immediate Action
15538,1,0.7188118,Critical,357.0840277777778,6,3358.4,3,1,1,Immediate Action
15015,1,0.71662074,Critical,320.9583333333333,13,2354.97,158,1,1,Immediate Action
13687,1,0.7146134,Critical,257.84722222222223,1,11880.84,45,0,1,Immediate Action
12860,1,0.9409972,Critical,512.8944444444444,1,54.22,16,0,0,High Priority
16908,1,0.935915,Critical,541.96875,1,252.59,20,0,0,High Priority
15375,1,0.935374,Critical,509.8833333333333,1,60.96,6,0,0,High Priority
12404,1,0.93500775,Critical,501.85069444444446,1,63.24,1,0,0,High Priority
12466,1,0.93500775,Critical,501.85,1,56.73,1,0,0,High Priority
17352,1,0.9348189,Critical,515.8590277777778,1,36.25,5,0,0,High Priority
16397,1,0.9347629,Critical,447.8847222222222,1,123.13,9,0,0,High Priority
14832,1,0.93466187,Critical,449.9,1,322.69,1,0,0,High Priority
12568,1,0.93434644,Critical,464.14930555555554,1,70.0,5,0,0,High Priority
17933,1,0.93396163,Critical,451.9020833333333,1,114.69,12,0,0,High Priority
14380,1,0.9334614,Critical,501.81875,1,48.96,1,0,0,High Priority
16867,1,0.9333374,Critical,509.1520833333333,1,76.74000000000001,6,0,0,High Priority
12692,1,0.93308514,Critical,456.95,1,110.95,13,0,0,High Priority
15324,1,0.93307567,Critical,520.9256944444444,1,140.22000000000003,8,0,0,High Priority
16064,1,0.93256754,Critical,544.8604166666667,1,109.31,17,0,0,High Priority
18012,1,0.9322991,Critical,542.9819444444445,1,115.3,13,0,0,High Priority
12992,1,0.9320338,Critical,544.8361111111111,1,93.35,6,0,0,High Priority
17108,1,0.93203306,Critical,483.0194444444445,1,174.95,9,0,0,High Priority
15250,1,0.9318295,Critical,460.21875,1,60.0,3,0,0,High Priority
14613,1,0.9315882,Critical,499.9916666666667,1,76.32000000000001,1,0,0,High Priority
14884,1,0.931579,Critical,488.9958333333333,1,120.6,8,0,0,High Priority
13392,1,0.9315063,Critical,496.9694444444444,1,91.14,8,0,0,High Priority
18175,1,0.9312665,Critical,495.10069444444446,1,176.1,7,0,0,High Priority
15941,1,0.9303312,Critical,456.9201388888889,1,405.0,6,0,0,High Priority
16741,1,0.9302571,Critical,444.89930555555554,1,173.06,11,0,0,High Priority
12570,1,0.9299314,Critical,501.80694444444447,1,77.52,1,0,0,High Priority
16090,1,0.92990625,Critical,443.9895833333333,1,180.56,18,0,0,High Priority
16970,1,0.9297636,Critical,445.9583333333333,1,71.4,2,0,0,High Priority
16082,1,0.9297361,Critical,489.8986111111111,1,106.75,16,0,0,High Priority
16291,1,0.9296748,Critical,501.85,1,117.72,1,0,0,High Priority
16047,1,0.9296748,Critical,501.8444444444444,1,107.14,1,0,0,High Priority
15672,1,0.92963535,Critical,544.8319444444444,1,45.3,3,0,0,High Priority
16439,1,0.9292724,Critical,541.9361111111111,1,310.70000000000005,9,0,0,High Priority
16673,1,0.9292026,Critical,498.93611111111113,1,171.13,19,0,0,High Priority
12954,1,0.92904055,Critical,458.1069444444444,1,162.45,10,0,0,High Priority
14604,1,0.92888254,Critical,452.99305555555554,1,143.86,20,0,0,High Priority
12606,1,0.9288164,Critical,501.8520833333333,1,21.0,1,0,0,High Priority
