Feature,MeanAbsoluteSHAP,Feature_SHAP_Correlation
RecencyDays,0.62082857,0.930806922064975
PurchaseActivityRate,0.24853927,-0.45889340426128694
MonetaryValue,0.2197858,-0.260723458351565
PurchaseFrequency,0.1761674,-0.5667792759463023
UniqueProducts,0.17480932,-0.7447085501517605
AverageQuantityPerOrder,0.13067146,-0.12194705630021517
MeanPurchaseGap,0.070840545,0.5923059291545781
MedianPurchaseGap,0.05842586,-0.0871257386966367
ProductsPerOrder,0.04684333,-0.48114669542184935
ReturnTransactionRate,0.041510265,-0.6760151684675639
ReturnedValue,0.040339924,0.2408464055514881
AverageOrderValue,0.037583966,0.5339734683580762
IsRepeatCustomer,0.03556954,-0.9736777882521983
CustomerTenureDays,0.021284617,-0.21992800711103436
ReturnedQuantity,0.0074304366,0.18221486355902666
ReturnTransactionCount,0.002597749,0.08704258491893274
